PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Redirect chain URLs,Redirect chain URLs codes,Is redirect loop,No. of all inlinks,No. of redirect inlinks,First found at
31,https://pravdast.agency/,,text/plain,false,307,0,https://www.pravdast.agency/,200,false,1,1,
30,http://pravdast.agency/,,text/plain,false,308,0,"https://pravdast.agency/
https://www.pravdast.agency/","307
200",false,0,0,
3,http://www.pravdast.agency/,,text/plain,false,308,0,https://www.pravdast.agency/,200,false,0,0,
0,https://pravdast.agency/robots.txt,,text/plain,false,307,0,https://www.pravdast.agency/robots.txt,200,false,0,0,
